,attack
46044,14
56573,14
126574,14
109197,14
117775,14
146037,28
105602,15
134209,14
36151,14
125323,31
135037,2
11895,19
47929,14
28164,14
91061,14
89074,26
31413,14
141551,28
147557,4
82192,24
120414,14
65625,14
82663,15
51307,15
20194,7
145111,11
111985,14
99296,14
135981,14
41634,14
131676,14
109417,14
113410,14
130799,7
148381,14
27162,14
66731,26
129645,11
25158,31
86154,14
113620,1
121176,14
13823,24
55285,14
79678,14
106970,24
6314,14
78364,14
69443,14
18509,14
100501,14
35781,14
100289,14
116423,14
116780,14
12879,7
105060,14
67186,14
75141,7
127083,27
25619,14
72951,14
13170,14
111396,14
108641,7
80802,7
51374,14
49983,14
132088,14
114425,14
122982,14
121138,14
21271,14
103115,14
114038,14
66267,14
103804,7
100180,7
143304,14
122177,14
108781,14
3311,14
108147,24
91191,31
22192,14
131792,11
106553,14
128404,14
54022,14
56710,14
122669,14
28622,14
82986,7
12125,19
40451,14
80600,14
1425,31
107034,26
122645,7
100854,14
30383,24
132614,1
98312,14
8021,14
16958,14
131933,22
57295,7
127693,24
146583,24
116821,14
146593,1
128648,26
116472,19
125425,14
20037,14
32814,14
14373,14
15288,14
29514,14
68765,14
95685,14
122072,14
41576,14
39653,15
50710,14
3434,14
122520,14
82800,18
9231,14
58240,26
128029,4
67927,14
115475,14
30651,26
28559,14
79177,19
58921,14
139030,24
130521,0
134103,28
4806,14
119667,14
56466,14
2416,7
95770,26
102770,14
11376,19
8125,24
111062,14
44541,14
147126,14
121789,26
133280,14
140326,11
3256,14
50411,14
10676,24
5256,15
109894,14
42176,14
2164,14
146834,20
73704,14
147431,14
119569,14
7268,14
138248,20
114519,14
130801,20
65490,14
5483,19
25163,14
100079,26
44429,7
91711,24
18123,14
107362,14
23394,15
148288,14
82339,26
113967,14
137446,14
65051,14
30255,24
80546,7
134369,28
131090,0
20583,14
48637,24
111525,14
125053,14
146866,0
107561,14
122083,14
8769,14
17186,14
122039,14
100634,14
6334,14
115696,24
9034,7
15531,14
101088,7
69372,14
33479,26
51295,7
78868,7
38663,14
71451,14
56392,14
6483,14
45675,26
119034,14
110033,14
108838,14
140127,23
4233,14
108056,14
7734,14
139110,14
140625,14
142067,0
36862,14
79248,7
128773,14
42358,14
17052,14
85211,14
79736,14
54363,14
118599,26
30097,7
31663,14
42063,14
134990,14
138378,4
6156,19
132959,20
94938,14
113214,14
108012,14
76147,24
26570,14
120478,24
130847,14
86668,14
54442,14
83838,14
8051,19
56590,7
132561,34
59507,7
52045,14
30967,14
7034,24
135444,8
125416,14
121254,14
137267,28
121535,14
131600,34
128202,26
122837,14
79645,14
37895,14
134865,28
28553,14
98556,14
43091,14
11817,14
114703,14
49805,14
59173,14
31508,14
64728,14
61441,14
98967,14
4500,14
126714,10
94724,14
79264,14
28148,24
126228,24
30569,14
30286,19
57055,14
38950,24
116311,15
70141,14
62776,14
61442,19
44784,7
975,26
135824,14
107685,14
87191,14
69519,26
82984,14
130596,14
3038,14
119890,14
65178,14
29014,14
128495,4
145034,14
54949,14
125269,14
100227,14
91161,7
144382,20
126380,27
120813,14
36988,14
75519,15
135334,11
90805,14
45788,14
129428,28
147336,4
129188,14
20125,1
100015,14
73428,14
96078,14
104734,31
82001,26
32936,14
134841,24
45223,24
49210,14
146742,14
128301,34
92860,19
82499,26
47561,14
131359,34
77553,14
143676,24
916,14
93920,14
72084,14
74451,14
84830,14
138823,24
66380,14
72118,14
124350,14
52744,14
94355,14
28211,14
56057,14
120628,14
20925,14
98717,14
136069,0
28394,14
127073,14
125924,14
53328,24
53737,31
139862,7
45852,14
123388,14
82246,14
129734,34
101108,26
28785,14
29774,14
45590,14
101300,14
141940,24
17751,7
75902,14
22203,14
106870,14
30593,14
56433,14
54238,14
124202,14
61565,14
10843,14
80463,14
89153,14
13148,26
3612,14
69055,14
80899,14
86310,14
32264,14
79313,14
19169,14
131824,14
136439,34
24002,14
107875,14
83073,24
71403,19
15360,14
45686,14
124039,14
28113,14
80147,14
66610,14
35814,14
39965,24
35062,7
113736,15
105572,14
79344,24
95159,26
51409,7
126208,18
55181,14
118879,14
27845,14
61346,14
86745,19
35118,24
113349,14
9081,19
51817,14
32151,14
137992,26
27500,14
94181,26
135817,26
120428,14
27632,14
98944,14
106401,14
36253,14
99049,19
136941,14
130185,23
66923,14
39306,14
140089,24
69871,14
133042,14
42806,15
56170,14
124910,14
125011,14
147841,14
121336,14
104335,14
112702,24
50492,14
30091,14
140832,14
67048,14
139326,14
33078,14
48265,7
12957,14
52913,26
13394,14
119631,14
98188,24
31701,24
97347,14
106260,14
71879,14
65033,24
8183,14
81026,14
113087,14
103351,14
34247,14
138776,23
85442,14
44489,14
43923,14
133553,0
27040,14
30931,14
132069,26
136060,14
15508,14
121317,14
89835,14
96893,31
26598,14
98820,14
66311,7
92911,7
87444,14
45120,14
69206,14
113757,14
135255,14
96416,14
125633,14
2441,14
33963,14
41512,33
319,14
137251,14
82781,14
58864,14
13275,24
74344,14
67967,14
125002,14
78824,14
115307,14
146828,14
136167,14
138524,24
51150,14
72280,14
135050,4
146204,14
109509,14
148043,11
19796,24
127884,14
57275,14
74590,31
7770,14
131692,11
138365,14
119123,14
95082,14
125104,14
24533,14
87387,24
132859,4
147788,26
111086,26
31001,15
11819,26
68353,14
40103,14
66613,14
146592,10
67299,7
61282,15
50715,14
130701,10
127191,5
39332,14
62421,14
145452,28
91381,24
101906,19
92190,19
118407,19
90418,14
88331,14
130166,14
99067,14
93788,1
124172,24
62865,14
36244,14
138049,1
69732,14
11669,31
73577,14
89973,14
63231,14
37920,14
56872,19
12884,15
87878,7
3865,14
114952,14
1960,26
126697,18
74006,14
142840,14
77506,14
145971,10
26513,19
124088,14
62052,7
49662,15
15851,14
93647,14
12107,15
25751,24
53183,14
135126,20
92140,14
27306,15
131605,10
108632,7
2292,14
124608,14
76618,14
85446,14
115385,15
88924,14
102649,14
76771,31
113686,14
75440,33
70528,14
134135,34
120769,14
83692,14
118624,24
119318,14
84998,14
45092,19
100349,19
96428,14
47608,26
141747,14
34703,14
53584,14
112088,26
5238,24
120038,14
68334,14
89541,24
145074,14
127126,14
141406,14
23284,19
68316,14
78352,14
73559,14
106679,14
119018,31
1535,14
97352,14
62117,14
27091,14
289,19
102265,14
138994,14
37200,14
37487,1
102643,7
94490,24
4505,14
44709,15
58014,14
56497,14
53056,14
95452,14
17070,1
100293,14
141287,28
10347,1
6544,19
77275,14
129291,4
12690,14
134077,34
126010,2
113390,14
11222,14
21096,19
4147,7
122134,26
89240,14
80869,31
3288,14
125007,14
19102,14
17266,14
51941,14
38215,14
6007,24
15218,14
72440,33
23815,14
96305,24
38682,14
113887,14
48143,14
92624,14
86299,14
134588,7
27893,14
15000,14
77345,14
53908,31
72926,14
98778,7
147630,14
20601,14
137201,7
40527,14
39153,14
87258,14
55674,14
143479,11
44441,33
3067,14
129219,0
97630,14
135044,24
71257,24
100145,14
66072,14
57383,15
36352,14
63157,24
49835,14
132332,14
123130,14
37470,14
72699,14
51408,14
18274,14
121009,7
105179,14
58304,6
48788,24
91141,14
67616,14
70273,14
127286,23
77798,33
128188,14
77071,14
39921,14
47256,14
9572,24
95312,14
114240,14
140340,4
50619,14
139822,24
142583,11
35749,14
12437,14
139854,4
100953,24
105212,24
39285,14
106477,19
145245,4
116712,15
125505,14
120875,14
127507,14
61622,14
111200,14
86783,7
142577,14
4352,24
41793,14
573,14
82491,26
116859,14
81354,14
136183,14
106910,14
133065,34
53159,14
63032,14
61462,14
39775,14
107636,14
137451,27
47971,14
53567,24
62881,14
82093,14
62636,19
139164,24
100142,14
146927,0
88963,14
92126,24
105559,14
127229,5
69429,14
49998,14
137177,14
92021,26
89016,14
26742,14
54430,15
66182,14
134458,11
4016,14
99346,14
101913,14
2978,19
21392,14
77484,14
13243,14
116176,14
8738,26
126947,14
5660,26
60703,14
1764,14
77913,14
127775,4
82240,14
565,14
84247,24
116232,31
48936,14
129390,20
95824,7
24380,14
95891,14
133852,14
98051,14
54912,14
125992,14
99214,14
124823,26
76710,26
147277,5
35912,14
16039,26
148037,26
132684,4
32030,19
49914,14
96830,14
134200,20
56554,14
141626,0
61954,24
48642,14
74929,7
43355,14
94206,31
30604,14
14082,14
30584,14
68190,7
58507,14
138098,26
145270,1
46002,31
131069,26
109217,14
9739,14
10970,19
59980,24
99947,14
106711,14
42924,14
148363,23
147090,14
63886,24
7891,14
135154,7
69033,14
75746,14
57975,14
83335,14
135833,24
140044,14
144123,11
19077,14
147407,14
131670,4
97146,19
129408,4
119377,24
139753,28
57721,14
96259,14
48184,24
118835,14
62304,1
32629,14
124963,24
145840,27
94024,14
139949,14
13221,7
1873,14
111633,14
64428,14
77132,14
81571,14
110918,24
43533,14
121563,14
94600,19
73719,24
47341,14
134079,4
93446,14
22931,14
10496,14
164,14
40990,26
82898,14
79116,14
48907,14
84578,14
119282,14
113200,14
25099,14
121588,31
40198,24
82727,14
18734,15
127377,5
102187,19
30665,14
105978,33
146641,11
89299,14
82795,14
30547,14
46597,14
17888,14
130272,23
131152,14
83652,19
123434,33
41103,14
96917,14
74798,14
92347,14
110362,1
34643,14
144767,4
134950,14
104782,14
146332,0
102358,33
82556,14
75800,14
140100,14
120740,14
11081,15
94214,14
26959,14
96888,14
131674,14
6485,26
11040,14
15747,14
129249,28
70422,19
123007,14
13218,7
112302,7
68151,7
92547,14
108491,26
84151,33
71442,14
423,24
145956,27
109766,14
67009,14
53649,14
83812,14
133544,14
78325,14
123168,14
100125,14
2545,33
3191,31
37313,19
37591,33
40671,14
88711,14
9377,14
138256,14
5513,19
102227,14
39249,14
100019,14
85846,14
59226,7
79591,14
116515,14
104420,14
86056,14
46230,1
78186,19
127273,24
45936,14
80473,14
37785,14
29688,14
137153,14
41120,7
137217,24
74987,14
11677,14
110178,14
34007,14
112902,14
55622,19
64586,14
90950,7
119759,26
79928,14
136305,28
26658,14
119752,14
46453,14
26814,14
35677,14
127717,14
96153,14
17879,14
26539,24
29467,14
19628,14
72022,26
35145,14
41881,14
3392,7
144668,24
115211,14
23511,14
133410,14
47766,14
25647,24
123825,14
50245,14
74430,14
95806,14
4927,26
20044,14
65616,31
130403,14
67459,14
118177,14
3517,14
26179,14
36447,14
48929,26
47104,19
31894,24
75359,14
54071,31
36861,33
144098,14
100790,14
104361,7
67279,14
15048,1
129202,14
104153,14
53290,14
141681,11
18277,14
4172,14
139188,11
17465,14
141357,14
52168,14
106591,26
125946,14
49329,14
130555,14
133300,14
50292,1
35066,14
75366,14
50903,14
64601,31
137512,14
126429,24
16710,14
141587,14
131263,14
97919,31
73690,14
99896,14
109666,26
80041,7
67167,14
39241,14
16830,14
10282,14
130416,11
143077,10
115948,14
92737,14
53764,14
92123,14
30205,14
107777,14
89049,14
111289,14
50500,26
34087,33
77757,14
68254,33
9680,31
91455,14
12369,14
98092,14
114747,24
32604,14
50126,14
36865,14
126088,14
113718,14
71931,14
111065,14
128224,14
123286,14
53282,14
66417,15
109150,24
48819,14
142692,14
79834,14
27157,24
100587,14
41102,1
4691,7
124981,14
64213,14
23893,26
47528,14
138629,14
66195,14
127338,28
92369,1
94894,14
129557,14
97337,14
75651,14
110354,14
128259,26
28820,24
126798,14
2288,14
121217,14
139191,0
114919,14
109484,7
58341,24
30991,14
131009,34
92724,24
44240,14
77458,14
127341,7
16603,7
132119,14
24737,31
62429,26
138514,14
53370,14
44957,14
43246,14
75526,14
61653,7
33480,14
21631,14
103205,14
109827,7
59720,14
52710,24
46276,33
69476,2
119038,7
80491,14
135317,26
140858,14
25836,14
56980,31
118221,14
140982,14
89029,14
125647,14
44502,14
11080,15
19894,14
25564,24
61709,14
81195,14
147159,14
41691,14
141046,34
49828,14
96602,14
39305,14
30674,26
84453,26
91410,14
24296,14
10276,19
100538,15
43893,14
115937,18
47013,14
20013,31
51821,3
133417,14
106151,7
141282,4
94686,26
81999,14
37928,26
14891,24
20703,14
110904,14
31529,14
31900,14
140345,14
58007,14
139006,4
48415,33
114515,14
141387,34
125621,14
28736,19
95720,14
145385,14
147148,11
53554,14
2179,14
94768,14
30858,14
146012,7
7222,14
67347,24
16040,14
95050,14
59025,14
81273,26
99311,14
93875,14
19958,14
21510,14
125152,14
49710,14
108068,18
142733,14
49181,14
34235,14
89305,14
134664,34
17344,14
60766,19
145403,5
87026,14
20803,14
109926,14
114115,7
145803,14
6271,26
27849,14
84723,14
93313,14
146321,24
79799,24
26065,14
16922,24
148169,34
66948,14
147401,20
143137,0
69211,14
64921,7
125758,14
124899,14
117289,24
83498,14
104751,14
94188,14
86833,14
138211,14
16409,14
92786,14
67244,14
133431,14
133663,14
418,14
82857,14
29234,14
118068,14
142739,14
85915,19
58223,14
84464,14
10014,14
90040,14
108919,14
111849,14
49226,1
115655,19
16665,14
124430,14
146709,14
64497,14
16454,14
3652,14
143829,34
80953,14
83145,15
2280,7
63542,31
71521,14
20763,24
18391,14
27856,14
91703,14
65319,14
77974,14
3992,31
102752,14
46831,14
113869,14
1238,14
1009,14
57238,14
75677,24
69857,14
95431,31
113163,14
134761,23
31669,26
143213,14
96634,14
142705,20
48727,1
111382,14
67323,14
130976,4
91750,19
114990,14
4031,14
97342,14
6871,7
109067,14
45404,14
111794,14
74947,26
91119,14
138289,14
15122,14
31444,14
29670,14
5480,14
146575,1
6232,14
127546,14
45559,14
18805,14
140671,14
1235,19
143200,14
29693,14
20174,14
136352,11
44387,26
29103,14
7561,14
1094,31
40302,14
133107,14
16308,14
24639,14
96652,14
104486,1
13001,4
12849,14
78250,14
62490,33
102064,14
102896,7
147125,14
121015,14
67439,14
80355,15
75108,14
138855,11
43078,14
125891,14
105449,14
84682,19
93694,14
51766,19
25621,14
44315,14
64928,14
15080,24
57142,14
120632,31
92555,14
79908,19
60052,14
33874,19
65857,14
65556,14
123743,1
32099,14
28848,14
118294,14
19576,14
144783,14
23625,14
1727,14
94933,7
116108,14
91573,14
57455,14
35664,14
24286,14
35855,14
37236,14
80794,24
31387,14
93555,14
65979,14
26828,14
71700,19
29827,14
79336,14
110111,14
61415,14
8054,14
142736,1
112942,14
8540,26
43621,24
43549,14
29884,31
61642,14
136931,4
129009,11
146790,10
85536,7
23267,14
85520,14
44759,15
138376,14
73145,14
57373,33
88385,14
26847,14
87565,19
105402,14
3333,14
18061,14
25912,26
72416,14
108982,14
78487,14
52401,14
89208,14
146380,23
54827,14
56022,14
48662,24
268,7
42861,14
119482,14
114569,14
44978,14
31039,14
9225,14
131462,11
94211,14
66488,33
9612,24
140610,28
20116,1
128248,23
16026,24
138819,0
109887,14
85551,14
72737,14
88473,26
107433,14
127959,14
12115,14
125083,14
829,7
10912,14
109524,24
106461,24
145279,24
94264,14
132000,14
30146,14
14527,14
128569,11
70853,14
77470,14
39595,14
35600,7
39515,14
91130,14
17460,14
77997,7
100002,14
10243,14
106873,14
76318,14
113573,14
5934,14
102495,14
143552,28
140815,14
41651,14
42798,14
50062,14
53512,1
61348,24
50981,14
31012,14
31799,18
9012,26
133116,20
121768,14
96793,14
87480,14
109833,1
96799,14
56514,24
102472,14
88569,14
87083,14
104362,24
35566,14
21413,24
129094,26
64411,14
33190,14
11358,24
80393,14
114731,14
36434,14
130268,14
122161,7
38614,14
119647,14
99023,14
11600,7
40131,14
132370,0
89711,14
132807,25
121554,14
104292,24
89582,14
11662,14
136781,23
115500,14
99966,14
126137,34
58615,26
23708,7
62364,24
144109,1
43181,14
26025,14
47112,14
17295,1
141035,14
71323,14
117708,14
90275,14
45440,14
102652,24
92106,14
59501,14
76403,14
41320,14
20827,14
107272,19
94557,7
98338,14
147253,28
58536,33
82372,1
139655,11
109413,14
57224,14
123330,14
46639,14
77781,14
10327,14
119986,14
128583,14
27492,14
69751,14
63937,7
131807,1
142675,14
23940,14
19573,14
92373,14
86763,24
51589,24
13633,14
87559,14
124969,24
105963,14
124412,14
34644,24
146485,26
113709,14
26818,14
80274,24
122429,33
63823,14
11671,14
60267,14
3769,14
39579,14
57187,1
74059,14
95976,14
49085,14
100577,26
21340,14
76247,14
141521,14
54734,1
124927,14
140973,10
45877,19
56286,15
57035,24
75012,14
77045,14
71145,14
30249,14
141133,26
31049,14
96518,19
131875,14
106930,14
131703,4
82698,14
59341,14
98047,24
46635,14
38053,19
65279,14
70757,14
6160,14
122555,14
109775,14
110881,14
89207,14
147011,20
114900,33
94064,7
77568,14
96887,19
49551,24
134288,4
81657,7
142721,24
33527,14
132945,14
95254,26
93092,14
137305,14
58544,14
130178,4
113834,26
84670,14
69445,24
36354,14
102886,14
137108,14
76238,24
146304,11
132819,11
71324,14
67238,14
59933,14
20562,14
25764,14
77438,14
81528,19
24143,19
56426,14
10994,7
11929,14
55051,26
37024,7
47579,7
39206,14
87809,14
60962,26
37615,14
124168,14
84580,14
101465,14
63872,7
94151,14
137195,34
50671,14
41269,14
145326,23
16907,14
82292,14
91688,14
86510,14
22762,24
121501,14
42685,14
57052,14
25707,14
48621,14
71331,26
112603,14
41112,14
69983,14
4118,14
15034,14
27050,19
62825,14
93668,1
129453,11
105837,14
90003,19
66527,14
47819,14
99899,14
137466,11
116323,14
80875,7
67788,14
59414,14
12386,14
29455,14
142824,34
73822,14
110817,24
661,24
14185,19
31866,14
4064,14
134235,24
97212,14
137985,0
84612,7
139120,10
146083,26
61206,26
51305,14
64845,14
88756,14
2667,24
101628,14
7045,14
95345,7
134497,20
87781,31
123626,14
67588,8
139232,11
45671,14
61985,1
60611,14
14991,1
133318,14
70795,14
128506,24
10389,14
35089,24
25677,14
143012,14
128283,14
23811,14
12823,14
53114,1
83106,14
18847,14
101420,14
97585,15
98535,14
41070,14
26713,24
74278,14
12254,14
43406,14
77698,14
111786,14
122168,24
73187,15
1521,14
60320,14
72730,15
126311,14
5117,26
86329,14
108634,14
54300,14
2909,14
99983,14
47365,14
97660,24
35036,14
45498,14
32752,24
93400,14
59473,24
39516,1
111811,24
122576,14
52769,26
130473,9
97305,31
141379,24
9575,24
13443,24
124940,19
35490,14
122060,14
51338,24
49801,14
94999,14
55429,19
62492,14
129502,0
9960,14
49033,14
79365,14
142619,4
101373,14
40515,14
85381,14
27026,14
123909,24
41974,24
122955,24
3937,15
84721,19
114878,14
96574,14
86633,14
32705,14
131903,14
123232,24
59591,14
63735,19
24962,14
136256,14
112998,14
2575,14
20014,14
111176,26
24831,14
123115,24
82653,14
85557,14
32854,14
35663,24
110849,14
9737,14
101390,14
66381,14
15968,14
58530,14
50751,14
1789,24
13195,19
128643,4
62683,14
6537,14
42813,7
52017,14
110440,14
33967,14
1549,14
139886,14
36920,14
51462,14
3113,14
5870,14
101818,14
64044,14
34372,14
141904,26
27310,14
98087,7
125089,24
109424,14
21974,14
57080,14
68792,14
142342,10
125917,14
147655,14
66503,14
119713,14
90166,14
90212,14
75169,7
178,24
123623,14
146473,20
3655,14
59859,19
13970,7
122141,14
30609,14
20706,24
121368,14
23466,19
46693,14
140371,14
17268,14
55893,19
1023,19
86595,26
134172,0
4244,33
30365,14
91612,19
91140,14
123784,14
114097,14
80778,14
41455,14
87415,14
100876,14
136662,4
64865,14
115283,14
119772,14
15057,24
92665,14
94757,14
148305,4
109770,14
143109,14
58995,14
133519,0
22385,14
49598,14
18942,24
81687,14
142139,19
37326,14
95060,14
95771,14
88196,14
6855,33
30834,14
78918,14
93742,26
19852,14
101897,14
93952,1
79362,14
109365,14
113578,15
40232,31
96344,19
47614,14
60213,7
57361,19
82048,14
54485,14
142061,19
38063,14
36287,14
109554,14
77037,14
68609,14
23611,14
60981,14
139377,11
41944,14
62477,14
81839,14
51998,14
89789,15
39605,14
94900,14
116026,14
121771,33
144242,34
89829,14
39569,14
38326,15
129508,4
47032,19
33322,24
86050,14
146453,34
126122,20
118308,7
146675,11
79024,24
129604,14
85823,15
56513,15
2523,14
125801,14
127443,14
46918,14
93156,26
71637,14
125839,14
129736,0
131033,27
16779,14
122921,14
118239,14
39295,14
54524,14
3891,14
16288,14
125337,14
65723,14
147044,28
64359,14
9998,14
33881,14
87287,14
125798,31
131160,11
76627,14
20536,7
147531,14
72706,14
69133,14
44428,26
46183,14
47023,24
19753,24
36180,26
94330,14
33358,14
32763,7
36851,24
36855,14
58570,14
119448,14
23662,14
6125,14
85856,14
89596,26
89166,14
115346,14
40532,14
41408,15
77767,14
51733,14
116867,14
114776,14
114634,14
100281,7
63430,14
75912,14
89097,14
77380,14
56156,15
7443,14
109139,14
88275,14
107699,14
3722,7
33136,14
9830,14
56876,14
67067,14
135132,0
96591,14
133223,4
141716,0
53042,26
40417,7
64297,14
135256,14
105583,14
110933,14
132123,14
23678,14
120694,14
33068,14
86417,14
136455,34
80210,24
144699,14
102325,14
135636,20
129984,0
134779,14
115476,14
20904,33
70706,14
145410,14
64307,14
108873,14
134319,4
144207,22
145281,14
63635,14
143674,14
29313,14
25626,14
22603,14
88116,14
1849,14
7441,14
81638,24
41423,1
35840,7
104644,14
102687,24
96711,14
104710,26
56842,14
49341,14
147173,20
21288,14
91297,24
120908,14
135562,14
253,19
82655,7
136023,23
42681,33
9117,24
121898,14
147911,23
68887,19
17244,14
19476,24
43758,14
71696,14
26895,14
88065,24
54597,26
99817,14
46184,14
138232,0
125714,14
141049,20
123444,14
126986,14
76992,24
37287,24
50883,7
70464,19
23852,14
83407,7
27330,14
126723,14
48691,14
102317,14
75745,14
45568,14
130037,14
19693,14
20964,14
62746,14
2979,14
53763,14
147746,4
71615,14
138965,14
131842,14
57911,14
130488,34
39986,14
109390,33
35503,14
69043,14
135582,14
1555,14
15619,14
143312,27
47703,14
10825,24
138606,26
50862,24
2222,14
78047,14
55804,14
32728,19
15105,14
103550,14
34544,14
14313,14
44324,14
8541,14
129130,28
145001,11
81022,14
94805,14
91934,14
126171,14
55564,14
63912,14
120864,7
140551,20
54810,14
57984,14
100559,15
51859,7
96402,24
11516,24
93967,7
64386,14
2480,14
60606,24
86588,24
75094,14
52257,14
121756,14
77615,14
104680,14
65169,14
147963,14
138811,4
140048,14
72336,14
44612,14
96601,14
124015,14
31325,26
37325,14
117749,19
312,14
30322,7
39694,15
31965,14
72989,14
133896,4
37675,14
117524,14
136468,7
79963,14
53164,14
9902,24
145310,14
135303,14
46080,1
35528,14
75761,24
66497,14
44856,1
101616,14
46211,14
99632,15
123970,14
29105,19
129273,1
3503,14
84510,14
14331,24
832,24
71553,33
1039,24
140921,4
32788,14
82589,14
85880,14
31296,14
120588,7
95648,14
5590,14
123834,14
143595,14
53177,14
55999,14
141613,0
43200,14
124505,14
62365,14
56897,14
61188,19
98958,14
28800,33
141875,4
24502,19
65262,31
122440,14
127612,23
18934,14
28074,14
107072,14
114350,14
61828,14
1174,24
135297,14
129860,11
121967,14
131756,1
695,19
22670,15
63372,14
91411,14
139009,10
16492,14
21211,14
26785,19
135318,34
34751,14
129455,13
26702,14
94926,19
118073,26
94492,14
63545,15
43757,24
24511,14
124056,26
466,1
115463,14
104172,7
132209,14
122788,14
92539,14
53602,31
29985,14
105977,14
140222,26
8132,14
147826,14
9019,14
30215,1
62056,14
99698,14
104801,15
17511,14
78189,14
86197,14
43472,14
59777,14
6815,14
143327,7
45864,14
12084,14
68776,14
92341,14
100215,31
37070,14
101393,14
85487,14
134237,34
21761,14
116356,7
115035,14
62347,14
24705,14
86886,14
24624,14
118441,14
39502,14
137517,26
134685,11
5230,14
92008,14
33632,14
58150,14
117482,14
31903,14
141376,14
124044,14
37226,14
121442,14
131267,20
5112,14
144012,20
44384,31
87308,14
126205,34
17746,14
7821,14
43640,14
29809,14
119474,14
84252,24
7466,14
138493,14
17571,14
114464,33
139243,34
70297,14
47659,24
44125,14
106658,14
71571,14
77787,14
45914,18
143146,11
71882,14
27190,14
131315,11
146099,4
47704,14
102444,14
26320,14
39719,14
8983,14
34852,14
63981,14
75698,15
145398,14
64910,14
5973,14
136548,4
75142,14
5720,31
107908,31
132841,26
131990,14
80850,14
85498,15
21048,14
37955,14
71365,14
5286,14
120975,14
25740,14
51143,1
30418,19
48885,14
133694,34
43722,14
5893,15
126836,14
97547,19
81,14
128759,14
91500,14
120961,14
110537,7
31371,14
50857,14
105043,14
42959,19
49760,14
104934,19
77009,14
147962,24
83298,14
100742,14
23092,14
109395,14
95223,14
73754,7
136946,11
44364,24
114778,14
27748,14
61131,14
68098,24
22962,14
13502,14
132299,11
43967,14
128407,4
108288,14
122131,14
41992,14
105649,14
69942,22
98333,24
26625,24
72180,14
140449,4
8026,14
141623,34
1534,14
13772,14
79782,14
124923,14
47742,19
44809,14
11811,14
122099,14
125604,24
120691,14
74051,14
19651,14
138692,20
53707,14
73708,14
73248,15
56902,7
27827,19
68123,14
66549,14
110425,24
45616,15
126669,14
119850,14
80950,14
128355,14
85878,14
86259,14
41172,19
4577,14
22179,14
53406,14
109132,14
27984,15
55401,7
77665,14
32443,14
89657,26
126679,14
59024,14
77955,14
112387,14
23029,14
113878,14
55224,14
136404,4
9599,14
39078,14
72457,7
76383,14
140976,24
85309,14
23316,14
106768,14
72433,14
91084,14
16892,19
135374,14
34060,24
113888,7
136411,23
26242,24
99198,14
81167,14
69532,14
83475,14
79578,26
38607,24
10195,14
129653,14
89568,31
64220,7
92420,14
3155,14
14347,14
121153,19
87967,15
93330,31
96576,14
110310,14
20436,14
147520,4
123351,14
74308,14
23538,14
95367,14
96932,14
95866,19
55212,14
141293,1
15978,26
85429,14
66524,14
104497,14
128895,14
42859,14
56189,31
139855,4
38479,14
55252,26
137822,26
133199,1
45039,24
7614,24
143855,0
113316,14
37037,14
2419,14
13546,14
3876,14
36349,14
56283,14
40577,15
51645,14
40195,14
85664,26
64973,14
94435,14
109786,14
105952,14
111430,14
32626,24
15146,14
126264,5
104525,14
134457,14
130006,14
85969,14
50031,24
69217,15
40845,22
124167,14
27172,14
123026,14
73355,14
126255,34
70682,24
23741,14
43569,24
93895,31
100176,14
38484,14
146528,2
121094,7
23656,14
48670,7
130347,20
25880,7
125690,14
94091,24
56228,14
107588,14
139190,14
101060,24
103686,14
770,14
41073,33
47066,14
50604,1
135350,5
117049,14
8800,14
73048,14
40355,14
89005,14
65958,14
51841,33
55805,14
108638,14
37769,14
79925,14
111983,14
23877,14
35895,14
98121,14
15757,31
665,14
82069,7
15748,14
10353,14
32684,1
127044,14
732,14
45215,14
80661,7
91082,14
63384,14
143578,23
35385,14
94019,15
61445,14
113753,14
132434,4
6339,14
65247,15
130977,34
53151,14
101375,14
36391,14
97474,7
8821,14
113965,14
40454,14
93590,14
146324,14
133499,26
67191,14
56325,24
103509,14
78036,19
61387,14
6662,14
70953,26
75571,14
61010,14
61370,14
120607,14
103508,14
15937,7
135577,14
99125,19
118712,14
40260,14
86927,14
88696,14
93477,14
105619,19
25940,33
55428,14
42270,14
100473,7
126172,27
3508,14
51848,24
3101,14
91896,14
145335,14
130516,4
116843,26
68329,26
106409,26
118489,7
131521,14
79234,14
136762,14
138383,11
67122,14
54656,14
60449,14
97659,31
101400,24
63513,7
98344,26
82770,14
135302,14
104271,14
112706,14
128630,4
43842,14
15196,14
93556,14
90280,26
57523,14
66204,14
27819,14
73370,14
74741,14
88505,14
73606,14
20707,14
48783,14
34754,14
35300,24
93667,14
95654,14
115144,14
3760,19
87201,33
8915,14
91496,14
101152,18
14354,14
93777,14
63250,14
148209,14
123095,14
142352,20
134669,26
99819,14
130069,28
58777,14
21622,14
72453,14
24880,14
88415,14
70531,14
42510,24
134798,14
103250,14
14590,26
68593,14
36104,7
9211,14
14708,14
108388,7
50920,19
95074,14
3790,14
131563,11
38126,14
101397,7
48358,14
109969,14
129693,1
75962,19
38611,14
100486,14
41484,14
108906,14
52911,14
25339,15
54242,19
48552,14
1062,14
49997,24
77064,14
45031,14
6751,14
30758,14
2852,14
21844,26
84138,14
48784,26
22790,14
5301,14
108754,14
74013,14
122583,26
113211,14
